"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"165","Hindustan Petroleum Corporation Limited","HINDPETRO","P&F | F.A","3.91%","420.95","40,04,935"
"175","Bharat Petroleum Corporation Limited","BPCL","P&F | F.A","3.87%","332.5","90,51,979"
"158","Oil India Limited","OIL","P&F | F.A","2.7%","449.2","62,99,164"
"80","The Phoenix Mills Limited","PHOENIXLTD","P&F | F.A","2.64%","1670","8,09,950"
"185","Aditya Birla Capital Ltd","ABCAPITAL","P&F | F.A","2.57%","248.9","1,28,51,361"
"208","Indian Oil Corporation Limited","IOC","P&F | F.A","2.48%","145.72","1,11,89,741"
"30","Hero Motocorp Limited","HEROMOTOCO","P&F | F.A","2.15%","4473","5,84,323"
"58","Mankind Pharma Ltd","MANKIND","P&F | F.A","1.99%","2423.8","1,92,803"
"49","Tvs Motor Company Limited","TVSMOTOR","P&F | F.A","1.89%","2796.9","6,49,705"
"139","Laurus Labs Limited","LAURUSLABS","P&F | F.A","1.67%","677.6","8,80,247"
"168","Coal India Limited","COALINDIA","P&F | F.A","1.59%","405.9","51,50,297"
"218","Aditya Birla Fashion And Retail Limited","ABFRL","P&F | F.A","1.58%","77.87","60,39,094"
"95","Reliance Industries Limited","RELIANCE","P&F | F.A","1.57%","1461.1","39,58,396"
"129","AU Small Finance Bank","AUBANK","P&F | F.A","1.54%","777.15","9,76,361"
"216","Nhpc Limited","NHPC","P&F | F.A","1.47%","91.03","56,74,999"
"215","Himachal Futuristic Communications Limited","HFCL","P&F | F.A","1.45%","93.07","50,61,096"
"63","Bajaj Finserv Limited","BAJAJFINSV","P&F | F.A","1.34%","2024.8","8,61,001"
"197","Gail (india) Limited","GAIL","P&F | F.A","1.33%","198.27","80,65,470"
"16","Divi's Laboratories Limited","DIVISLAB","P&F | F.A","1.27%","6759","1,68,509"
"154","Aarti Industries Limited","AARTIIND","P&F | F.A","1.27%","488","4,77,273"
"13","Bajaj Auto Limited","BAJAJ-AUTO","P&F | F.A","1.23%","8732","2,13,641"
"150","Jsw Energy Limited","JSWENERGY","P&F | F.A","1.23%","539.75","22,10,900"
"155","Iifl Holdings Limited","IIFL","P&F | F.A","1.19%","487.05","7,61,608"
"176","Petronet Lng Limited","PETRONET","P&F | F.A","1.17%","311.65","14,45,230"
"44","Mahindra & Mahindra Limited","M&M","P&F | F.A","1.14%","3102.4","7,99,280"
"135","Marico Limited","MARICO","P&F | F.A","1.14%","706.6","12,21,185"
"5","Shree Cements Limited","SHREECEM","P&F | F.A","1.12%","30160","5,326"
"152","Sona BLW Precision Forgings Ltd","SONACOMS","P&F | F.A","1.11%","522.35","12,88,292"
"145","Lic Housing Finance Limited","LICHSGFIN","P&F | F.A","1.1%","624.95","7,87,143"
"105","Godrej Consumer Products Limited","GODREJCP","P&F | F.A","1.04%","1226.5","2,26,086"
"18","Polycab India Ltd","POLYCAB","P&F | F.A","1.03%","6201","62,612"
"186","Oil & Natural Gas Corporation Limited","ONGC","P&F | F.A","1.03%","247.19","91,24,217"
"193","Indian Energy Exchange Ltd","IEX","P&F | F.A","1.01%","212.14","50,25,489"
"207","Indian Railway Finance Corporation Ltd","IRFC","P&F | F.A","1.01%","146.7","58,69,206"
"214","Sjvn Limited","SJVN","P&F | F.A","1%","105.09","32,62,173"
"223","Idea Cellular Limited","IDEA","P&F | F.A","1%","7.04","28,84,88,962"
"113","Jsw Steel Limited","JSWSTEEL","P&F | F.A","0.91%","1012.25","3,27,735"
"10","Ultratech Cement Limited","ULTRACEMCO","P&F | F.A","0.88%","11491","58,574"
"106","Max Healthcare Institute Ltd","MAXHEALTH","P&F | F.A","0.87%","1192.8","4,86,615"
"32","Computer Age Management Services Ltd","CAMS","P&F | F.A","0.85%","4297.2","2,71,705"
"167","Exide Industries Limited","EXIDEIND","P&F | F.A","0.83%","407.15","18,74,916"
"3","Page Industries Limited","PAGEIND","P&F | F.A","0.82%","47055","7,565"
"160","Rail Vikas Nigam Ltd","RVNL","P&F | F.A","0.81%","430.15","36,99,914"
"35","Kei Industries Limited","KEI","P&F | F.A","0.8%","3824.7","81,635"
"174","Ntpc Limited","NTPC","P&F | F.A","0.78%","341.85","33,97,377"
"205","Tata Steel Limited","TATASTEEL","P&F | F.A","0.78%","156.9","81,31,642"
"27","HDFC Asset Management Company Ltd","HDFCAMC","P&F | F.A","0.77%","5160.2","1,72,577"
"122","Dlf Limited","DLF","P&F | F.A","0.75%","874.5","11,10,000"
"126","Indian Railway Catering & Tourism Corporation Ltd","IRCTC","P&F | F.A","0.75%","794.85","3,67,351"
"161","Poonawalla Fincorp Ltd","POONAWALLA","P&F | F.A","0.75%","429.95","3,81,860"
"88","Max Financial Services Limited","MFSL","P&F | F.A","0.72%","1533.8","1,50,536"
"93","Macrotech Developers Ltd","LODHA","P&F | F.A","0.72%","1477.9","3,88,127"
"173","Biocon Limited","BIOCON","P&F | F.A","0.72%","343.65","9,19,217"
"183","Eternal Ltd","ETERNAL","P&F | F.A","0.72%","257.52","1,48,33,747"
"159","Power Finance Corporation Limited","PFC","P&F | F.A","0.71%","434.5","19,05,984"
"91","Cipla Limited","CIPLA","P&F | F.A","0.7%","1521.3","3,33,549"
"131","HDFC Life Insurance Company Ltd","HDFCLIFE","P&F | F.A","0.7%","767.8","7,90,175"
"54","Balkrishna Industries Limited","BALKRISIND","P&F | F.A","0.69%","2525","1,24,884"
"181","Hindustan Copper Limited","HINDCOPPER","P&F | F.A","0.69%","265.45","29,24,077"
